index,results,average time (3)
0,3,211361328
1,10000,271980841
2,1,11637528
3,10000,70848861
4,0,97543874
5,2,24620373
6,277,174528598
7,4388,78522443
8,38,85256020
9,5,58861970
10,1,9983221
11,904,30137379
12,147,13496637
13,4361,11389493
14,3,12596130
15,0,24426618
16,36,52419423
17,4,545516967
18,87,79954782
19,0,8879184
20,1,19432146
21,26,26762405
22,0,16280571
23,9,206480979
24,2,39186715
25,3046,30102809
26,5,87521473
27,35,11082012
28,101,81865310
29,734,105966965
30,2,6074110
31,10000,24960120
32,6,254654009
33,258,10217666
34,397,14037767
35,6,28927802
36,1,10497251
37,2,20505904
38,1,20997285
39,7,14668385
40,5,27274608
41,0,6434917
42,0,195744832
43,666,33988078
44,10000,211467822
45,6,420317331
46,7,27084270
47,334,19454796
48,300,20092566
49,14,22131442
