index,results,average time (3)
0,3,200151125
1,10000,261201619
2,1,8980273
3,10000,61569213
4,0,109559694
5,2,23043234
6,277,164485056
7,4388,65737247
8,38,80301522
9,5,53260405
10,1,9688615
11,904,32841681
12,147,12897729
13,4361,11615832
14,3,12021541
15,0,24139165
16,36,65464416
17,4,530135313
18,87,50337949
19,0,7936874
20,1,15065590
21,26,19202947
22,0,11860449
23,9,179170131
24,2,28317689
25,3046,18545150
26,5,81340153
27,35,10151306
28,101,71763832
29,734,106650034
30,2,5807081
31,10000,23758093
32,6,253731886
33,258,9961127
34,397,16565878
35,6,31756162
36,1,9767214
37,2,22612412
38,1,20543575
39,7,17465034
40,5,26251315
41,0,6778398
42,0,221753914
43,666,33662080
44,10000,234146674
45,6,419238487
46,7,26482661
47,334,19349654
48,300,18768230
49,14,18112738
