index,results,average time (3)
0,3,32735506
1,10000,100761095
2,1,4414081
3,10000,10938564
4,0,14316161
5,2,6581226
6,277,7036288
7,4388,5389213
8,38,8676131
9,5,12765168
10,1,3366787
11,904,5661964
12,147,4417816
13,4361,5074818
14,3,4122495
15,0,10368505
16,36,8937676
17,4,8118152
18,87,13595818
19,0,3290493
20,1,3175894
21,26,5775213
22,0,7222572
23,9,10043859
24,2,6091594
25,3046,4236856
26,5,5983829
27,35,3682851
28,101,4372834
29,734,22758722
30,2,2881685
31,10000,16095161
32,6,12805064
33,258,4041035
34,397,5066076
35,6,10207175
36,1,5201498
37,2,10254064
38,1,7507323
39,7,4578272
40,5,9077866
41,0,2969264
42,0,18275578
43,666,5481958
44,10000,91621795
45,6,124762693
46,7,7261275
47,334,8190472
48,300,3179391
49,14,3268321
