index,results,average time (3)
0,1,18992026
1,0,263266244
2,1,43061097
3,12,19944111
4,2,6530681
5,0,39555549
6,3,65506696
7,0,34487088
8,0,40924389
9,7854,18667458
10,70,15502611
11,1,21340846
12,0,15594561
13,2333,195865789
14,8,86537042
15,349,18547057
16,863,18783012
17,98,1021442492
18,5789,55300314
19,0,33601363
20,2,25384505
21,1,121230125
22,21,42689481
23,3008,232030391
24,50121,414225816
25,5,18669763
26,14,28944889
27,0,41836658
28,5,18057425
29,657,62567869
30,0,16273021
31,0,207190433
32,92,17661253
33,481,14357407
34,2,26518185
35,3046,40604988
36,0,73555628
37,2,17740170
38,16,167377153
39,1,10060230
40,10,95885356
41,4,27235030
42,71,227551142
43,2,18718480
44,88,126162290
45,0,11562267
46,1,80147186
47,141,31972407
48,1053,24245659
49,8,33855994
