index,results,average time (3)
0,21,23598432
1,123,17324367
2,7,11203845
3,3,21690447
4,4,110928296
5,32,14763116
6,10000,544782479
7,10000,1782229900
8,1135,8784452
9,2163,435366868
10,10000,191311279
11,10000,64968347
12,10000,34943580
13,1,200449228
14,276,10747034
15,10000,86418548
16,15,36696751
17,3,71114221
18,164,15409151
19,917,6948470
20,64,19427775
21,10000,41734695
22,1,29959440
23,20,39593139
24,6,16780137
25,1353,6929397
26,2,26319980
27,32,13227224
28,153,17648378
29,2,88444471
30,4087,24633486
31,2,15238681
32,18,13558228
33,83,8850335
34,13,19969701
35,1,203872124
36,1,7163603
37,47,12699762
38,2,9387731
39,10000,345788239
40,153,10009685
41,3802,233787456
42,108,7566451
43,2179,8428891
44,20,31282504
45,0,22202014
46,10000,46067396
47,0,3086407
48,10000,79773028
49,24,46691496
