index,results,average time (3)
0,21,19111791
1,123,10801315
2,7,8395512
3,3,8127530
4,4,9423573
5,32,10954220
6,10000,639201243
7,10000,429610172
8,1135,3954410
9,2163,16164779
10,10000,41304508
11,10000,34828901
12,10000,36257266
13,1,64461389
14,276,10236660
15,10000,35152991
16,15,10628779
17,3,7043838
18,164,26696602
19,917,8756080
20,64,8418957
21,10000,22928873
22,1,8634169
23,20,60179551
24,6,6303548
25,1353,4137754
26,2,32832622
27,32,2968628
28,153,17003535
29,2,31572818
30,4087,11967658
31,2,13042211
32,18,4161436
33,83,19495566
34,13,8141755
35,1,57708104
36,1,9542862
37,47,5112329
38,2,13135830
39,10000,219122727
40,153,4549662
41,3802,46245256
42,108,5317290
43,2179,4456758
44,20,7203658
45,0,20946184
46,10000,22828976
47,0,3434816
48,10000,36920944
49,24,8336940
