index,results,average time (3)
0,111,28238773
1,1,134361584
2,0,2480150302
3,28,18333593
4,1,509705463
5,10,34615993
6,0,201137542
7,0,3279049
8,0,30220985
9,318,280964135
10,13,1280581473
11,12,49520889
12,2,45965750
13,1,109207153
14,7,9092330
15,0,58883745
16,39,209795872
17,0,31693775
18,2161,19534190
19,744,20186980
20,1,34533103
21,87,50982792
22,38,9774269183
23,926,13802448
24,7,48349857
25,2,9976943
26,1,25792677
27,462,20347992
28,2,12885967
29,1,22019226
30,108,7722059
31,9,82453250
32,0,3532488
33,1,29743829
34,49,1083649158
35,2161,19699573
36,0,2958536
37,7,12548525
38,3,17882028
39,5,17195860
40,1,30114968
41,10000,922727822
42,36,7748603
43,5,135579188
44,1517,24454434
45,0,406513452
46,3,141419728
47,1,40297269
48,8,56375503
49,1830,50253152
