index,results,average time (3)
0,111,34281968
1,1,177186647
2,0,3249896208
3,28,22592226
4,1,646395921
5,10,41033903
6,0,262163003
7,0,2866824
8,0,38606484
9,318,362663348
10,13,1529616037
11,12,50063450
12,2,53717771
13,1,151508012
14,7,9753942
15,0,76977411
16,39,276768048
17,0,42255242
18,2161,26681105
19,744,26821771
20,1,45557021
21,87,62956412
22,38,12804879982
23,926,16876776
24,7,63867250
25,2,12540260
26,1,35319407
27,462,26927629
28,2,17360130
29,1,28468131
30,108,10192950
31,9,114188750
32,0,3912289
33,1,36666472
34,49,1216669082
35,2161,23211955
36,0,3141641
37,7,17078717
38,3,19762118
39,5,17335493
40,1,30982176
41,558409,833542426
42,36,7300853
43,5,124178250
44,1517,26786963
45,0,377925077
46,3,153850316
47,1,42268434
48,8,53278922
49,1830,51157235
