index,results,average time (3)
0,5,21163860
1,1,75309673
2,1,139877795
3,18,64553657
4,223,54105440
5,3,499701419
6,1,1400991995
7,96,313403446
8,0,22052208
9,12,34526268
10,1,24585008
11,22,134629964
12,1954,5511479934
13,5,17782846
14,0,148709058
15,1,22545098
16,2,15595277
17,0,8222341
18,0,14495610
19,1,1092435915
20,0,10712066
21,3,2044321377
22,594,137963771
23,1,12025038
24,1,123603740
25,2,1295491536
26,124,513753334
27,16,20709990
28,4,108232894
29,1,257918198
30,0,11686960
31,0,2559661
32,4,45689741
33,6,335471629
34,7,53973038
35,3,75681288
36,0,32696803
37,0,45021295
38,1,49115816
39,1,17831881
40,79,547389188
41,4,21169264
42,1,122950314
43,0,28180996
44,59,43136835
45,1,17820914
46,1,32259543
47,11,18201033
48,1,26222467
49,5,54846445
