index,results,average time (3)
0,5,25230248
1,1,89202165
2,1,154767830
3,18,62395572
4,223,70190429
5,3,464727878
6,1,1392058054
7,96,297597487
8,0,25662501
9,12,44489144
10,1,26715039
11,22,159242073
12,1954,7082877953
13,5,27285178
14,0,222178776
15,1,34556467
16,2,23526350
17,0,12048085
18,0,21074771
19,1,1746425787
20,0,16104777
21,3,2358229080
22,594,136058171
23,1,9979883
24,1,129810809
25,2,1769104401
26,124,484977880
27,16,23752530
28,4,108367999
29,1,287782430
30,0,15367984
31,0,2739508
32,4,60788074
33,6,313349882
34,7,62976201
35,3,84497610
36,0,40849049
37,0,42849301
38,1,58136065
39,1,12818494
40,79,491480827
41,4,29632568
42,1,120612541
43,0,39447943
44,59,55957237
45,1,20848273
46,1,40866533
47,11,20974317
48,1,29804150
49,5,52573362
