index,results,average time (3)
0,5,23728608
1,1,83546876
2,1,143567482
3,18,65752823
4,223,63571770
5,3,480201800
6,1,1431848684
7,96,301747719
8,0,23139396
9,12,40440400
10,1,26072024
11,22,149628162
12,1954,6130273580
13,5,26116132
14,0,151093403
15,1,25010347
16,2,16980091
17,0,10094880
18,0,15265543
19,1,1292016665
20,0,11451959
21,3,2184228737
22,594,144778330
23,1,9817838
24,1,128268082
25,2,1579502502
26,124,536774953
27,16,27943690
28,4,174379825
29,1,272669076
30,0,13834396
31,0,3145058
32,4,49938360
33,6,329822619
34,7,70010900
35,3,82480668
36,0,38226842
37,0,43903032
38,1,55957555
39,1,13648827
40,79,512810388
41,4,25260368
42,1,122117598
43,0,32091935
44,59,48296292
45,1,20264863
46,1,37827173
47,11,19823868
48,1,27904828
49,5,54381052
