index,results,average time (3)
0,5,6959278
1,1,19506136
2,1,121777454
3,18,7643619
4,223,12664873
5,3,36271253
6,1,256113767
7,96,117367426
8,0,11376857
9,12,20128408
10,1,7491190
11,22,101663430
12,1954,8180922587
13,5,6143092
14,0,5304336
15,1,6011644
16,2,5427519
17,0,4514773
18,0,10339736
19,1,503704070
20,0,6415843
21,3,1757294495
22,594,16195535
23,1,3637393
24,1,29490470
25,2,584354797
26,124,14130512
27,16,13423045
28,4,6749470
29,1,20661353
30,0,3187338
31,0,2189953
32,4,8118946
33,6,13714948
34,7,43449957
35,3,10814825
36,0,5822181
37,0,12127637
38,1,33554712
39,1,3814855
40,79,114722251
41,4,10635852
42,1,7932106
43,0,7805983
44,59,7844526
45,1,8573054
46,1,26371637
47,11,6830056
48,1,18891413
49,5,47394036
