index,results,average time (3)
0,264,10652144
1,1334,12068112
2,14,9346087
3,10,49223661
4,3,12166738
5,33,10553836
6,10000,113644758
7,3,14721313
8,60,22654612
9,3485,16193707
10,7942,29089689
11,13,51455418
12,9,47860065
13,1,9710788
14,10,24647950
15,3,28735478
16,459,57068983
17,528,25171120
18,131,35469452
19,1,155921538
20,5,45202731
21,1,28679449
22,10000,98816235
23,4,79050778
24,133,1372804482
25,31,243183771
26,2,14220714
27,209,19241173
28,30,11629978
29,491,40733178
30,1355,10259151
31,5,20439465
32,2,12686172
33,7,37331501
34,2,13507604
35,3,22584596
36,346,14093239
37,489,46660740
38,9,176968574
39,12,8751312
40,179,17126083
41,31,14251072
42,1,17516851
43,1,7658163
44,449,272289434
45,1,26218016
46,0,2592404
47,2,26943762
48,205,74248869
49,54,20022153
