index,results,average time (3)
0,6,56374390
1,4,13064622
2,19,9519417
3,4,12716531
4,1056,238956133
5,163,300341605
6,8,22863070
7,1,22619167
8,1,9269554
9,127,62834341
10,2,26937881
11,3,33741553
12,81,13975619
13,2,127918958
14,0,3004550
15,0,37171363
16,2,19185940
17,1,32478411
18,1,14757155
19,888,134066263
20,2,63038984
21,0,22670984
22,0,3055890
23,2,42376517
24,2,29991308
25,74,26663700
26,2,15588680
27,0,2823431
28,4,18252531
29,126,15699624
30,1,12740611
31,4,40673255
32,2,13933022
33,244,12141306
34,1,13491471
35,3,37844021
36,2,24872302
37,1,35065014
38,1,13876119
39,103,291280348
40,16,43580452
41,3,60309886
42,1,17507314
43,31,32650231
44,7,73347806
45,84,28292893
46,5,24247089
47,38,54831584
48,0,25969902
49,27,12400944
