index,results,average time (3)
0,28,7857560
1,1,27818520
2,3,8003711
3,8,9013016
4,424,30059178
5,2,35186528
6,2,8628447
7,1,5726734
8,2,6685097
9,969,102610269
10,63,20426431
11,0,14725048
12,108,22939284
13,313,49472252
14,9,166710853
15,2,8265018
16,4,404686609
17,18,23001829
18,29,49202680
19,1,10431925
20,50,20360151
21,1,217576741
22,1,9310404
23,6136,70167302
24,7,29778162
25,1,8781988
26,20,103535572
27,1,8030255
28,1,20939190
29,2,10658343
30,1,25429566
31,10000,292498667
32,1,14548698
33,6,23274023
34,1,15058199
35,40,19575675
36,6,27588128
37,11,10866959
38,1,28389215
39,4,15623569
40,5,14288504
41,1,24725595
42,7,41759728
43,1,15974918
44,2,26277780
45,2,13203302
46,49,14774878
47,2,40468851
48,1,16071081
49,4,20612398
