index,results,average time (3)
0,28,17642894
1,1,26535590
2,3,45107602
3,8,17868121
4,424,17813602
5,2,94068924
6,2,10079224
7,1,4949569
8,2,14901399
9,969,44460614
10,63,38159449
11,0,45862912
12,108,21241028
13,313,19800662
14,9,55590152
15,2,18186092
16,4,196229298
17,18,59180179
18,29,24769941
19,1,62901576
20,50,38313785
21,1,26196717
22,1,11014938
23,6136,76888640
24,7,19431272
25,1,8275190
26,20,9633302
27,1,10192552
28,1,60242255
29,2,22110461
30,1,43880859
31,10000,250426530
32,1,6035565
33,6,20566542
34,1,6989002
35,40,53664604
36,6,26417175
37,11,5016883
38,1,47348181
39,4,42866627
40,5,10027090
41,1,13577858
42,7,26026884
43,1,10214249
44,2,8754809
45,2,57256062
46,49,3032207
47,2,9140888
48,1,13190110
49,4,4386265
