index,results,average time (3)
0,131,167145490
1,394,48141081
2,2,8585134
3,2,25096336
4,6261,28740723
5,5,9631951
6,10000,40531158
7,103,5382855
8,25,7362206
9,396,6831168
10,840,14412085
11,1049,21367072
12,74,8832613
13,32,7034301
14,355,13689279
15,0,5676189
16,1385,9941736
17,0,27659813
18,3,48604488
19,2,7687568
20,1066,10713974
21,2,6758371
22,2,15530347
23,0,27953306
24,10000,303928534
25,4,6369828
26,2185,20562251
27,34,6743907
28,10000,297753413
29,1257,21784543
30,4,7752735
31,75,10081449
32,18,78340450
33,0,72093724
34,275,9857415
35,1,6541808
36,370,22167443
37,10000,16423860
38,0,15880822
39,2,14567295
40,642,13679980
41,367,9985049
42,520,181708256
43,556,7146278
44,0,14670689
45,3154,12392202
46,212,18817345
47,4431,36934454
48,75,5512793
49,10000,14211177
