index,results,average time (3)
0,131,18978754
1,394,16776005
2,2,3931919
3,2,9044011
4,6261,6620565
5,5,3184238
6,10000,17123381
7,103,3292083
8,25,3998438
9,396,4277785
10,840,6378968
11,1049,9996334
12,74,4480600
13,32,4876295
14,355,8286873
15,0,3313064
16,1385,4990259
17,0,7670560
18,3,6672143
19,2,4075367
20,1066,7286151
21,2,3264426
22,2,2286910
23,0,4107077
24,10000,68705717
25,4,3453492
26,2185,14576275
27,34,3102461
28,10000,153864542
29,1257,2722103
30,4,3230810
31,75,2831617
32,18,2733309
33,0,8157094
34,275,4305680
35,1,3250280
36,370,6348370
37,10000,8986075
38,0,3391821
39,2,2638260
40,642,3045161
41,367,4801113
42,520,5574225
43,556,3126938
44,0,8299112
45,3154,4315058
46,212,6957451
47,4431,9495655
48,75,3433783
49,10000,6595770
