index,results,average time (3)
0,4,18632490
1,4628,12559731
2,2695,23585080
3,7667,80908298
4,334,20212490
5,45,11289278
6,1,14979123
7,2,12083053
8,1,20907481
9,615,15518188
10,33,12208461
11,32,25177557
12,2,9666601
13,0,31173308
14,4,9160439
15,2,40080308
16,32,32402674
17,0,27786413
18,0,12080986
19,3700,16814549
20,1,10727087
21,35,180571555
22,619,20705302
23,84,42579173
24,1136,98773240
25,9,19462346
26,1,95685561
27,4,13895352
28,0,14231522
29,24,8091528
30,2,31256913
31,411,21763801
32,4,15519698
33,577,35511254
34,330,9805202
35,0,2540349
36,5,97235043
37,6,9453137
38,0,2837021
39,2397113,1506246327
40,589,27974287
41,1,27316967
42,248985,227204958
43,0,8361895
44,2,9130636
45,464,11826594
46,6,8796930
47,20,62823056
48,102541,217500288
49,59,10317881
