index,results,average time (3)
0,10000,294426599
1,1,6866613
2,18,13240496
3,1,15093723
4,4,22979656
5,15,26740868
6,1,11845429
7,7,23672659
8,1,108617861
9,0,12967188
10,26,11064052
11,5,8230765
12,6,8611678
13,12,10336955
14,3,7114410
15,0,8329788
16,17,16814708
17,19,15962838
18,1,11042197
19,530,48285642
20,13,36215543
21,1,10621706
22,4,50862629
23,1,7788101
24,5706,22285460
25,3,170421917
26,1,17793257
27,0,19011020
28,0,9950239
29,70,32982667
30,48,24922767
31,1,12133995
32,11,166834274
33,15,15433628
34,0,120680093
35,4,9258667
36,116,17283200
37,415,28682946
38,0,16565720
39,1,26250759
40,21,7513443
41,1,7866779
42,1,7371504
43,10,37901798
44,234,14044999
45,202,36489645
46,247,15556334
47,9712,82763591
48,744,9119113
49,6,12170632
