index,results,average time (3)
0,48,71087837
1,2,358412345
2,2,392525910
3,21,107614437
4,1,106302896
5,10,357309659
6,0,1497669537
7,22,75100660
8,13,23634513
9,2,23491461
10,1,378477652
11,205,3505740721
12,1,39011954
13,5,2223952213
14,17,616673707
15,1,62190055
16,127,23221254
17,3,12973070
18,1,65421660
19,0,86160261
20,1,155785083
21,3,13142187
22,1,24531602
23,13,95605293
24,7,204249540
25,3,23352940
26,0,52015383
27,1,12005726
28,95,326895633
29,9,37311235
30,25,436947027
31,354,249998012
32,1,51758288
33,2,103482007
34,2,62628745
35,2,135270277
36,0,49085457
37,19,73629299
38,12,199936707
39,1,20073652
40,1,59015273
41,15,55000940
42,1,59088468
43,0,17256339
44,4,175031105
45,0,22213061
46,0,101634184
47,1,20611921
48,25,9861521720
49,1258,51972070
