index,results,average time (3)
0,48,45946438
1,2,251977761
2,2,287556171
3,21,64091841
4,1,62083403
5,10,233772277
6,0,1065519253
7,22,49099286
8,13,17396211
9,2,14859198
10,1,356410900
11,205,2476014216
12,1,31228462
13,5,2312211672
14,17,556802192
15,1,50052563
16,127,17442464
17,3,11130491
18,1,62183777
19,0,80581982
20,1,144294420
21,3,9768803
22,1,22946039
23,13,79640944
24,7,164857307
25,3,15407879
26,0,44390439
27,1,8334556
28,95,320811350
29,9,27126312
30,25,362733125
31,354,227432330
32,1,37316957
33,2,98949193
34,2,60097137
35,2,64209619
36,0,35496949
37,19,56712388
38,12,167695680
39,1,13474146
40,1,49096504
41,15,48381566
42,1,49304643
43,0,12848694
44,4,235671519
45,0,19213437
46,0,96350033
47,1,16637245
48,25,10770389954
49,1258,37429093
