index,results,average time (3)
0,3,17587184
1,1,69036085
2,2,22035360
3,38,63596327
4,11,39405265
5,1,11632657766
6,4,57217835
7,10,22458473
8,3,16028244
9,1,28127590
10,32,10427315
11,25,21631319
12,1,8470217
13,1,43163617
14,16,417026519
15,11,283972183
16,1,61733960
17,5,48854907
18,3,15749692
19,5,5097913503
20,3,158710956
21,24,175507704
22,10,20646651
23,2,20696798
24,3,45113007
25,12,743266025
26,2,24688164
27,336,45399427
28,10,97927013
29,0,61393340
30,1,38656552
31,1,268453359
32,0,44880548
33,5,20082155
34,7,76228300
35,394,181118328
36,49,85571050
37,3,58757543
38,0,5081415
39,77,105994939
40,2,45762379
41,1,130381981
42,1,79669633
43,15,17013390
44,2,9768485
45,3,15959421
46,9,70247411
47,0,15378475
48,3,14830271
49,1,27676502
