index,results,average time (3)
0,3,7403452
1,1,10818878
2,2,4306474
3,38,14936287
4,11,21506070
5,1,7567325
6,4,25707323
7,10,3999391
8,3,6765126
9,1,3371317
10,32,4751682
11,25,9726444
12,1,2637544
13,1,11345386
14,16,356734434
15,11,370334624
16,1,6376504
17,5,22424141
18,3,7150570
19,5,499866962
20,3,41379769
21,24,33419847
22,10,3899573
23,2,6379604
24,3,17984707
25,12,29780784
26,2,18002191
27,336,28686364
28,10,19786119
29,0,3578185
30,1,33936420
31,1,78980763
32,0,9039799
33,5,9532371
34,7,5855162
35,394,123903194
36,49,36487261
37,3,10454733
38,0,3943204
39,77,32287438
40,2,2956787
41,1,61635652
42,1,10465462
43,15,15510558
44,2,4507064
45,3,7300932
46,9,5638122
47,0,3723620
48,3,3308693
49,1,5077838
