index,results,average time (3)
0,10000,25157851377
1,10000,9845720846
2,0,timeout
3,5119,22634982
4,0,69875080
5,1125,66169738
6,6397,778355915
7,10000,26695153077
8,10000,47847369034
9,10000,19985986073
10,10000,24565347353
11,10000,6437802870
12,162,2757072289
13,10000,312491257
14,10000,10264343658
15,10000,46273328780
16,10000,4290705839
17,0,2446253
18,2,4680076
19,291,3426631
20,0,timeout
21,10000,334422136385
22,10000,980685471
23,80,5156375328
24,10000,120721527337
25,10000,14830391644
26,10000,3585340896
27,10000,48022572914
28,10000,12483424583
29,704,23652394
30,10000,45556928952
31,10000,40681692599
32,0,timeout
33,10000,35244023322
34,10000,1561520973
35,10000,48433372815
36,0,timeout
37,10000,3084187825
38,10000,117356164137
39,10000,30237438281
40,7563,36528825
41,10000,4673551082
42,160,30684819062
43,124,1106616417
44,6968,1111712932
45,10000,27314563671
46,10000,1145391702
47,10000,24084652264
48,10000,507679015318
49,10000,17317306677
50,10000,2358810106
51,3288,37042220
52,10000,97037712
53,10000,11055364687
54,0,timeout
55,32,5892594
56,576,4023116508
57,1,363876765807
58,0,timeout
59,10000,27621186653
60,6228,7947285
61,10000,12148800054
62,10000,30846794128
63,10000,47755741357
64,10000,44691238323
65,10000,196208207766
66,10000,13590375581
67,10000,105661964257
68,10000,578111568
69,10000,970266421
70,2378,93808650
71,10000,35681766827
72,10000,43932855526
73,10000,15412462392
74,10000,489214261
75,10000,1291941801
76,10000,928853670
77,10000,7813455184
78,0,2278566
79,10000,10237433274
80,10000,6909676233
81,10000,2400175332
82,1226,18845637
83,0,timeout
84,665,1136186281
85,10000,5842026312
86,10000,1599193890
87,10000,9900056202
88,10000,51625567991
89,10000,46668606281
90,161,4743972
91,10000,1708501179
92,375,24311762650
93,10000,20731444437
94,22,2204179
95,10000,994594255
96,10000,7704837401
97,10000,775366385
98,5041,35134156
99,3634,4982005993
100,112,109787145
101,163,434991041
102,2152,296023448
103,0,timeout
104,106,2487498124
105,10000,13361396153
106,10000,5526962041
107,10000,37359695513
108,0,76195398
109,1793,10797420
110,110,176934480
111,0,26753743
112,10000,25457721233
113,10000,26179100513
114,46,10049819
115,8699,818286577
116,10000,5445546467
117,10000,28564291715
118,10000,14963704983
119,10000,487098021666
120,10000,95267469406
121,10000,2463031689
122,10000,26137930551
123,0,timeout
124,0,timeout
125,3291,1055311600
126,10000,44623748699
127,10000,1056042273
128,6,2679188
129,10000,1598080237
130,10000,2887301047
131,10000,1571659961
132,10000,433913101911
133,10000,42663768450
134,10000,7827529271
135,10000,199726645310
136,10000,5789948145
137,10000,1240846633
138,10000,1034665743
139,258,289257843
140,235,3358045
141,10000,33606697638
142,10000,35332265615
143,10000,40337642113
144,10000,50520016749
145,10000,54577146688
146,8349,70997873
147,10000,7739875316
148,10000,244240470329
149,553,18326441
150,3137,30310149192
151,10000,5185580888
152,10000,552016734
153,58,3263552
154,801,1668544689
155,10000,1923266171
156,10000,924812634
157,10000,142860968
158,10000,2748012224
159,10000,2446366707
160,0,timeout
161,10000,23821647723
162,10000,3415130773
163,5302,29899120
164,10000,904975095
165,5864,68363109
166,10000,2671258767
167,10000,117554028
168,62,159912427
169,0,timeout
170,10000,167531887
171,2767,465806086
172,10000,36161609729
173,10000,1193088292
174,22,2341190
175,10000,3206101575
176,8300,530729214
177,10000,18958791970
178,10000,90360720
179,10000,5230114141
180,10000,111954450
181,0,timeout
182,0,timeout
183,0,timeout
184,0,timeout
185,0,timeout
186,10000,6523881673
187,10000,16033459503
188,10000,6245347022
189,10000,17460710048
190,4498,67421117
191,3406,2806501864
192,0,33500512
193,0,8119105
194,10000,633488813
195,10000,38848934252
196,10000,20584821
197,10000,400103886
198,6,376681566
199,10000,8819091319
200,10000,232712086120
201,10000,158476193
202,479,5445400
203,10000,338769279320
204,118,3443797
205,10000,1999044100
206,1056,9406566
207,10000,2129607438
208,3,2381563
209,10000,9965422550
210,646,10429858
211,189,2364953
212,712,12076059
213,10000,347668673673
214,10000,13878191868
215,10000,13291213273
216,10000,14560774087
217,10000,115633000055
218,2,2490679
219,10000,45038959502
220,10000,492992082
221,10000,4851254780
222,10000,26273538271
223,10000,886510689
224,10000,23564822673
225,7222,84855317
226,10000,1567657709
227,10000,36615670680
228,10000,10430344183
229,0,2247412
230,50,2233425
231,555,95567623
232,10000,102045774
233,855,47691424
234,13,3416458
235,152,36976178
236,10000,118531349420
237,10000,7699365774
238,10000,9154783010
239,0,2390622
240,338,5400323390
241,10000,145470857
242,10000,448031107
243,10000,21299304405
244,10000,92928817589
245,10000,2699603318
246,63,8450587
247,33,914661645
248,10000,15261270522
