index,results,average time (3)
0,950975,25817981242
1,1276782,11188987890
2,0,-1
3,5119,23352304
4,0,72682380
5,1125,72990814
6,6397,814381678
7,4030557,28019989331
8,1580831,44916204372
9,3001338,22226064204
10,1099030,25079014380
11,636750,6869910796
12,162,3297820409
13,83802,392942984
14,1843856,11700488566
15,457748,54670992374
16,13974,6018594026
17,0,3816207
18,2,7423400
19,291,4858175
20,0,-1
21,106599197,375386824369
22,255091,1093908945
23,80,6294994989
24,36315793,137750225305
25,4793361,14578403711
26,55089,3676901260
27,157460,54319519519
28,133414,12716332355
29,704,33412376
30,1071108,50370271443
31,69807323,46434102217
32,0,-1
33,1685296,41107703287
34,264882,1768890460
35,1660629,50712502717
36,0,-1
37,507043,3920524358
38,26869847,124100465376
39,4061030,40528102635
40,7563,58682282
41,1318129,7052357991
42,160,30310038327
43,124,1301846821
44,6968,1295694271
45,5129089,27380364497
46,62987,1326544999
47,6940614,25572301228
48,19593,542151784976
49,5432421,18810209989
50,176312,2500199873
51,3288,45821348
52,21477,113671143
53,3742006,10243086575
54,0,-1
55,32,6785233
56,576,5118639945
57,1,519014417648
58,0,-1
59,5908149,29299797455
60,6228,7738987
61,2439879,16903725941
62,5469080,32029902140
63,5911139,47513635635
64,4697895,45816423495
65,231610973,219734378337
66,1129721,13970534006
67,13082275,101893052816
68,50913,575915574
69,266584,1098906357
70,2378,121403932
71,81627076,30818115074
72,2984152,51054465214
73,3703575,22868818282
74,127891,728608766
75,969202,1469101190
76,209980,1078946828
77,1846213,8585942824
78,0,3031094
79,1443179,10132564544
80,1221881,7388075192
81,617628,3086386044
82,1226,25293032
83,0,-1
84,665,1252140760
85,1394455,7767124096
86,441551,1943839549
87,1259211,10413723547
88,8221683,51056561151
89,15958419,60227560678
90,161,4717270
91,341645,1807666857
92,375,29605383078
93,4069005,26531189759
94,22,3329515
95,281779,1187950372
96,2466174,8129873672
97,28597,910206476
98,5041,34633000
99,3634,5323476711
100,112,126495361
101,163,570820728
102,2152,390792687
103,0,-1
104,106,2703136841
105,464874,18354050715
106,347332,5861283063
107,42379087,43066219170
108,0,73975801
109,1793,9957869
110,110,182374874
111,0,37408192
112,378706,24881277958
113,1996444,29058936834
114,46,12452125
115,8699,1231787124
116,1258279,8287058353
117,9168224,34629066705
118,3732039,18854822952
119,906088820,511440721670
120,83519476,105754906256
121,604053,3145179191
122,2144568,27696354070
123,0,-1
124,0,-1
125,3291,1177687008
126,404530,50491082349
127,110171,1265084743
128,6,3950754
129,15505,2287508964
130,507043,3856167395
131,15505,2217112381
132,30436327,424602731624
133,10568809,49852037111
134,2797095,7495888073
135,29951385,209885087966
136,1692003,6561788876
137,383950,1297844409
138,198058,1287425676
139,258,325681288
140,235,4854042
141,2576805,34013564348
142,1346218,35703777233
143,1848428,45726727803
144,2461259,57478215297
145,3338124,54879168509
146,8349,81324894
147,13973689,6898607571
148,475734575,221497647046
149,553,19189913
150,3137,34107737938
151,12025350,7286659081
152,51243,868521610
153,58,4880984
154,801,2476236819
155,636564,2854131539
156,191078,1465836127
157,33628,209150790
158,332445,2960968017
159,270546,2714071591
160,0,-1
161,292511,26479592561
162,5263055,3143487453
163,5302,38016795
164,128605,1051329612
165,5864,83388010
166,171890,2914279698
167,33874,157329082
168,62,230327844
169,0,-1
170,56693,266263802
171,2767,673110484
172,2562447,44002873817
173,318488,1440259138
174,22,3135203
175,57545,3294179518
176,8300,713897227
177,30670968,19338503122
178,22038,112099329
179,463548,7349866946
180,14006,160507519
181,0,-1
182,0,-1
183,0,-1
184,0,-1
185,0,-1
186,99754,7847902774
187,347022,18569887796
188,117403,6989713509
189,248370,21365953365
190,4498,86081424
191,3406,3252396901
192,0,40565092
193,0,11100689
194,148717,752573489
195,11869,45280059098
196,35437,27957995
197,112092,558106342
198,6,481712817
199,2193010,12969982464
200,33515292,251934080918
201,44953,197699307
202,479,7632334
203,36309996,361430861631
204,118,4532018
205,307464,2353436390
206,1056,13603766
207,151896,2332358121
208,3,3478606
209,698107,12608688830
210,646,13115882
211,189,3756443
212,712,17131805
213,23422490,348814463932
214,1643383,17301822185
215,1854406,17969810008
216,4044231,20691351016
217,40246474,117447108824
218,2,4315773
219,2096442,50768143653
220,125185,607803344
221,332088,5430980443
222,2770703,31892444451
223,123943,1330515225
224,102162,30485272486
225,7222,97446917
226,63439,1811783472
227,17119348,37593837578
228,2498842,13765796661
229,0,3247340
230,50,3930886
231,555,115533430
232,14976,120627005
233,855,55673280
234,13,4134098
235,152,50826787
236,23045215,145722258567
237,2464025,8456924120
238,18444481,7848433017
239,0,2954244
240,338,6225190559
241,15709,172967592
242,1000291,380909442
243,1703073,23585214614
244,7614566,94268769263
245,224096,3846251646
246,63,12547095
247,33,1360868692
248,4044231,22953142245
249,18859,3812045891
250,233308714,302578634818
251,573,6637970
252,3276225,5422802368
253,1617520,14271553913
254,17112441,252780443111
255,349987811,146477117458
256,2824015,15355418046
257,5426531,47928246259
258,1,27572622060
259,135112709,187162798245
260,0,977785507
261,7900563,29558080434
262,587748,5061196485
263,509424,1818063258
264,768264,53182128429
265,34672468,110825327157
266,0,65795341
267,330240,3776524543
268,8318888,9458112398
269,197471,18879579464
270,154,1701869248
271,0,284267008463
272,0,-1
273,50116462,236614887078
274,0,-1
275,781679,3699175039
276,77,3893884817
277,328,442496855
278,4138271,16618135769
279,3,3558635
280,12978412,49412181059
281,29420196,132012256939
282,619,4838627337
283,9168224,30853238820
284,92577,2594318945
285,5539,46898682
286,165811,1039043982
287,5301,2776535431
288,38976,166101375
289,7,9750604
290,3732039,19445278723
291,100,2846319
292,0,2288023
293,3003838,10774390299
294,39303,791911601
295,641211,3441097815
296,547260,3260556459
297,9829,6157874
298,4776,1985726435
299,2766098,17085380792
300,4081589,29440960406
301,798008,2796028295
302,10054542,111722471793
303,8892926,29583613157
304,0,2349614
305,935395,30323137203
306,17875,373294194
307,2413538,8421726941
308,756,5964049736
309,17116659,108340741633
310,12655,13723899443
311,1170,904917557
312,499600,12787001927
313,5682,292931794
314,2307,27242261171
315,267224,1247483571
316,909,13297398
317,19613054,112691624402
318,596775,8467848062
319,172697,34080048322
320,426,1260187387
321,10612978,26839424053
322,15567,131995200
323,1698988,5455150047
324,334,218305348
325,95,206927299
326,1081295,32057488123
327,156,768767435
328,9454,19054571
329,47,2627928
330,438712,2648998180
331,938047,15192405223
332,152897,3092509587
333,767297,9789076963
334,533166,25242333093
335,265296,1055072307
336,770611,5622520923
337,12915,56594133
338,3002348,17854249874
339,1,417002200
340,94480513,38989239295
341,0,2185344
342,0,1960515
343,5915093,30034637133
344,43,7219870
345,450565,3009868939
346,173,2403873125
347,9828,657857417
348,27668,7400198856
349,5438874,22622835158
350,1003,863624810
351,27659,141776561
352,920,113418658
353,11844,54808457
354,187127,1393011728
355,2889934,12603147824
356,124762,594638426
357,0,-1
358,459,20692189
359,20476906,107818162281
360,1093,1088908751
361,13117,208443164
362,420,5770285
363,22414,2660302320
364,1436,17827828
365,1195381,5396297136
366,0,-1
367,0,-1
368,91,28431716918
369,1513927,7814358313
370,393046,1399119853
371,744764,2494132915
372,63,3493546
373,436,13120412
374,9,3242651
375,392887,2238906780
376,1980,51558017
377,8,751363594
378,129,95584153
379,233308714,264988648493
380,334960,3944816350
381,4910,39778288920
382,1111,5911617437
383,142,798941453
384,840,40642977952
385,127234,735483645
386,2081510,7375626484
387,2896194,27263483047
388,64,52903806765
389,0,-1
390,2631802,89784608125
391,2831972,50377741257
392,2896367,16423629521
393,11335,2590066750
394,895244,52773803948
395,895772,3852641979
396,362,5345741
397,287175,1547523577
398,4305278,1848778645
399,591061,2622599919
400,27104923,136353095133
401,390,216866492
402,1390085,25926783958
403,203,4055261
404,41,3261406
405,1459408,4736289103
406,486437,2839473565
407,0,2498785
408,5099,164000590
409,0,-1
410,4721,79275528
411,2878,77703316
412,4953,85660298
413,784101,17063029765
414,1817,76817750
415,1347,76855341
416,290039,1167653639
417,0,6493726
418,0,43904542
419,1076522,5829786618
420,15822,5988377570
421,3207582,16195151487
422,7284,9630202
423,42,8708476
424,374,56381543
425,77650,1245431025
426,2891,2447966893
427,1316,26080503463
428,6351546,39233143090
429,34935102,161470114707
430,3207582,17956561326
431,49915,242123762
432,197276,3310109773
433,0,17344156
434,0,1874367
435,88561,23626816034
