index,results,average time (3)
0,950975,28947010517
1,1276782,13194751103
2,timeout
3,5119,33150513
4,0,91503143
5,1125,85624853
6,6397,1162664333
7,4030557,33888156413
8,1580831,57442906140
9,3001338,22481089432
10,1099030,31637408256
11,636750,10202665408
12,162,4281646807
13,83802,600236812
14,1843856,16369171539
15,457748,63433202981
16,13974,6394919554
17,0,3609657
18,2,7248560
19,291,4909515
20,timeout
21,106599197,405915900865
22,255091,1387485424
23,80,8197304884
24,36315793,143883907397
25,4793361,16077114979
26,55089,3754187821
27,157460,71258763710
28,133414,13607450644
29,704,31284411
30,1071108,59465326626
31,69807323,45872989892
32,timeout
33,1685296,40464876094
34,264882,2409074862
35,1660629,62210157791
36,timeout
37,507043,4373891750
38,26869847,122434036969
39,4061030,34100227514
40,7563,53004741
41,1318129,7168640851
42,160,38664052406
43,124,1285471756
44,6968,1233570416
45,5129089,31772877374
46,62987,1291802405
47,6940614,26528614600
48,19593,549363731701
49,5432421,19141004959
50,176312,2494706709
51,3288,43802817
52,21477,110580761
53,3742006,10887161969
54,timeout
55,32,4535833
56,576,4620446204
57,1,507521265109
58,timeout
59,5908149,29824939489
60,6228,7972399
61,2439879,14411446491
62,5469080,36491741656
63,5911139,58835249423
64,4697895,63302058060
65,231610973,224473992903
66,1129721,14540269692
67,13082275,124905408858
68,50913,810047705
69,266584,1354233820
70,2378,132561286
71,81627076,36944301366
72,2984152,54813332001
73,3703575,18597443739
74,127891,552565256
75,969202,1495565096
76,209980,1115139722
77,1846213,7784583091
78,0,3266175
79,1443179,10988541285
80,1221881,8802863359
81,617628,3064554293
82,1226,23854017
83,timeout
84,665,1416644970
85,1394455,6872713724
86,441551,1858103036
87,1259211,10609507242
88,8221683,57674045005
89,15958419,57006413538
90,161,4112243
91,341645,1967820882
92,375,27535776614
93,4069005,27470988432
94,22,3167946
95,281779,1145146528
96,2466174,9485793749
97,28597,1081526597
98,5041,32514889
99,3634,6355679909
100,112,120211362
101,163,515593290
102,2152,349712530
103,timeout
104,106,2597206194
105,464874,15786388237
106,347332,6710785388
107,42379087,44448826869
108,0,71599244
109,1793,9964227
110,110,174759785
111,0,41669686
112,378706,26048397461
113,1996444,26711948235
114,46,11227527
115,8699,1128595828
116,1258279,6435956795
117,9168224,30925498723
118,3732039,17717428207
119,906088820,553455789724
120,83519476,119759045600
121,604053,3000242471
122,2144568,27939986069
123,timeout
124,timeout
125,3291,1227315425
126,404530,50524886210
127,110171,1192094881
128,6,3411610
129,15505,2093165318
130,507043,3420432726
131,15505,1931515057
132,30436327,433660021384
133,10568809,47557813007
134,2797095,9040179331
135,29951385,230738916794
136,1692003,6366264342
137,383950,1460647423
138,198058,1191462516
139,258,319342612
140,235,4212379
141,2576805,35880895932
142,1346218,37930280764
143,1848428,43012703815
144,2461259,53450708468
145,3338124,55850563128
146,8349,76083182
147,13973689,7478278477
148,475734575,261633818546
149,553,20149866
150,3137,32122745593
151,12025350,5015740473
152,51243,1480157613
153,58,3604411
154,801,1936926364
155,636564,2158028761
156,191078,1129037936
157,33628,165825366
158,332445,2960222084
159,270546,2704032579
160,timeout
161,292511,28704953352
162,5263055,3401070514
163,5302,33596753
164,128605,1058337449
165,5864,79819599
166,171890,2868417421
167,33874,138018448
168,62,174436251
169,timeout
170,56693,192452589
171,2767,499670187
172,2562447,38649154901
173,318488,1309507051
174,22,2633650
175,57545,3249796708
176,8300,639638185
177,30670968,19630925098
178,22038,102406422
179,463548,6496889432
180,14006,131186644
181,timeout
182,timeout
183,timeout
184,timeout
185,timeout
186,99754,7400194088
187,347022,17910979429
188,117403,8925890445
189,248370,22435233116
190,4498,78104257
191,3406,3227702220
192,0,41776338
193,0,10786214
194,148717,746488570
195,11869,44631759404
196,35437,20210663
197,112092,445893764
198,6,349928458
199,2193010,9681062300
200,33515292,277366752783
201,44953,181488751
202,479,6065130
203,36309996,377802768627
204,118,4072824
205,307464,2166982411
206,1056,10790904
207,151896,2322652975
208,3,3149906
209,698107,11485575755
210,646,11681238
211,189,3391742
212,712,15047867
213,23422490,358801643291
214,1643383,16629997729
215,1854406,15826637664
216,4044231,17617069800
217,40246474,133371369122
218,2,2647558
219,2096442,50202576636
220,125185,776353597
221,332088,6585939645
222,2770703,28055752277
223,123943,1072853644
224,102162,26960388342
225,7222,118257998
226,63439,2217678069
227,17119348,40132963180
228,2498842,12532261450
229,0,2917448
230,50,2546786
231,555,110263903
232,14976,116853554
233,855,50643682
234,13,3783623
235,152,44331312
236,23045215,156192109981
237,2464025,8590318838
238,18444481,8610009113
239,0,2788861
240,338,6070231437
241,15709,166363079
242,1000291,424218256
243,1703073,23082688410
244,7614566,97380700110
245,224096,3498312234
246,63,11340856
247,33,1382722456
248,4044231,22027043103
249,18859,3574938137
250,233308714,324606145619
251,573,5287328
252,3276225,5703261454
253,1617520,16013710737
254,17112441,233884195406
255,349987811,149400470574
256,2824015,15964381456
257,5426531,56461165745
258,1,35873165686
259,135112709,165286794423
260,0,923281669
261,7900563,30665475765
262,587748,5308100938
263,509424,1945103168
264,768264,54465093294
265,34672468,131451014995
266,0,65948803
267,330240,3819097677
268,8318888,10225446541
269,197471,18571244716
270,154,1724238872
271,0,251424604177
272,timeout
273,50116462,251634370008
274,timeout
275,781679,3927164951
276,77,3754378000
277,328,445819695
278,4138271,17651186624
279,3,2685705
280,12978412,51854352394
281,29420196,171943636893
282,619,4681875705
283,9168224,32336503505
284,92577,2609437703
285,5539,47100623
286,165811,1074267546
287,5301,2998107353
288,38976,214006661
289,7,11112133
290,3732039,19422460635
291,100,3178834
292,0,2755244
293,3003838,11560318151
294,39303,844076394
295,641211,3602547962
296,547260,3349348942
297,9829,6794770
298,4776,1952085017
299,2766098,15840943097
300,4081589,26812309503
301,798008,2624372323
302,10054542,132211819807
303,8892926,38335833469
304,0,2501566
305,935395,33106401761
306,17875,364569345
307,2413538,8401511509
308,756,5843100149
309,17116659,119800565083
310,12655,11961796203
311,1170,765457232
312,499600,12339006026
313,5682,238621711
314,2307,26286370436
315,267224,1260359207
316,909,14370441
317,19613054,124881958245
318,596775,9103365420
319,172697,34116709391
320,426,1319606065
321,10612978,28538286368
322,15567,129922628
323,1698988,5947834491
324,334,226932763
325,95,203227996
326,1081295,34761053323
327,156,778390645
328,9454,19180377
329,47,2374172
330,438712,2809841553
331,938047,16378544012
332,152897,3621531962
333,767297,13280191580
334,533166,32347786426
335,265296,1138198772
336,770611,5885657627
337,12915,52434682
338,3002348,20095562457
339,1,439029454
340,94480513,42495376109
341,0,2572615
342,0,2619663
343,5915093,31251336573
344,43,8009036
345,450565,3224753697
346,173,2451576868
347,9828,705648739
348,27668,6340391238
349,5438874,18427765210
350,1003,896190404
351,27659,136117140
352,920,117904424
353,11844,52223840
354,187127,1404997904
355,2889934,9848292747
356,124762,484790801
357,timeout
358,459,19636153
359,20476906,135194708187
360,1093,1127020517
361,13117,227639516
362,420,6805260
363,22414,2788178841
364,1436,9470621
365,1195381,5791484276
366,timeout
367,timeout
368,91,25775605836
369,1513927,7416939496
370,393046,1093600431
371,744764,2043568690
372,63,3242810
373,436,11178413
374,9,3293116
375,392887,1754001458
376,1980,47769466
377,8,545626083
378,129,85814952
379,233308714,326341733057
380,334960,4002132176
381,4910,44043746550
382,1111,7627361058
383,142,947030941
384,840,43081908781
385,127234,759481747
386,2081510,8881142854
387,2896194,28404195388
388,64,53107973257
389,timeout
390,2631802,100847019910
391,2831972,54018165508
392,2896367,16591910202
393,11335,2589326381
394,895244,55093769550
395,895772,4386599063
396,362,5626280
397,287175,1414213657
398,4305278,1879995186
399,591061,2772099812
400,27104923,146577563285
401,390,214264948
402,1390085,26862847725
403,203,3240107
404,41,3352403
405,1459408,5406022310
406,486437,3964743614
407,0,2433299
408,5099,187928358
409,timeout
410,4721,82190671
411,2878,78098296
412,4953,78281402
413,784101,17140118757
414,1817,78393936
415,1347,75743833
416,290039,1217604001
417,0,6734609
418,0,45588175
419,1076522,6292417525
420,15822,6063664913
421,3207582,16811215877
422,7284,10403474
423,42,9204307
424,374,56135415
425,77650,1321710983
426,2891,2402275402
427,1316,26159386078
428,6351546,42483875035
429,34935102,183139884073
430,3207582,17873633781
431,49915,195062239
432,197276,2899852593
433,0,21509329
434,0,2258141
435,88561,28512906153
