index,results,average time (3)
0,10000,4512016216
1,10000,13576794941
2,0,timeout
3,5119,26963789
4,0,2865155
5,1125,54620265
6,6397,43302615
7,10000,14629077990
8,10000,3945071617
9,10000,22836244344
10,10000,2935941219
11,10000,7144830226
12,162,64586877
13,10000,412561178
14,10000,11836785316
15,10000,718979596
16,10000,83499113
17,0,2238909
18,2,2823750
19,291,4424333
20,0,timeout
21,10000,303240911404
22,10000,1124507268
23,80,9371280
24,10000,133560374339
25,10000,18543772856
26,10000,1042004267
27,10000,12712634006
28,10000,898724396
29,704,6132841
30,10000,23664406537
31,10000,28052618582
32,0,timeout
33,10000,21282723744
34,10000,1722400028
35,10000,7664873599
36,0,timeout
37,10000,1540653705
38,10000,100424065271
39,10000,22244491258
40,7563,51484902
41,10000,4858395576
42,160,8451223
43,124,24580796
44,6968,47422011
45,10000,17929039795
46,10000,506622632
47,10000,18086336691
48,0,timeout
49,10000,20815992990
50,10000,2499520699
51,3288,33526579
52,10000,117247581
53,10000,11940451780
54,0,timeout
55,32,5349079
56,576,62688270
57,1,25686661
58,5,458019018
59,10000,20756500402
60,6228,8059183
61,10000,7815951664
62,10000,22813081979
63,10000,22099228779
64,10000,23913307507
65,10000,102467327753
66,10000,7017995754
67,10000,35578338781
68,10000,291219472
69,10000,1164744615
70,2378,50900379
71,10000,32000209331
72,10000,16165336290
73,10000,12385821580
74,10000,606818993
75,10000,901726643
76,10000,739644845
77,10000,6065117676
78,0,2047856
79,10000,7014952897
80,10000,8046140908
81,10000,787069876
82,1226,8501926
83,0,timeout
84,665,7559378
85,10000,4918505111
86,10000,1954999128
87,10000,8228093544
88,10000,41108160177
89,10000,45266772269
90,161,5202293
91,10000,2327953735
92,375,2371305465
93,10000,21321232715
94,22,2926508
95,10000,1297044117
96,10000,8898392994
97,10000,569838126
98,5041,28524954
99,3634,21881500
100,112,3558635
101,163,11550346
102,2152,55359760
103,0,timeout
104,106,18041371
105,10000,8368070442
106,10000,9876609483
107,10000,39809765259
108,0,7386286
109,1793,9560584
110,110,32600005
111,0,3807226
112,10000,1796573241
113,10000,7402846097
114,46,4177172
115,8699,53419669
116,10000,4168424685
117,10000,28252073446
118,10000,12271450359
119,10000,287911316553
