index,results,average time (3)
0,0,201326369
1,0,590035755
2,0,8102257
3,0,26076793
4,0,93658367
5,0,20682890
6,6,25328556
7,0,66077788
8,0,163388966
9,0,54426908
10,0,8748690
11,0,91529130
12,0,12083529
13,0,5906025
14,0,27464627
15,0,40169238
16,0,44851859
17,179,494589407
18,1,47209262
19,0,6197611
20,0,11960903
21,0,30438343
22,0,11486211
23,469,174105643
24,0,26107628
25,0,16099452
26,0,76565265
27,0,10244210
28,0,108295599
29,0,691915511
30,0,5764801
31,10000,104696988
32,0,229701200
33,0,140340566
34,0,40694315
35,0,28998771
36,0,1087162812
37,0,26483217
38,0,20206848
39,0,30726909
40,0,27880747
41,0,11520703
42,0,207245667
43,0,46646197
44,0,186482588
45,698,2265438556
46,0,26115099
47,10000,2066468238
48,0,73582648
49,0,39982795
