index,results,average time (3)
0,0,290438095
1,0,794413168
2,0,11479615
3,0,37089665
4,0,134081840
5,0,30824581
6,6,35733858
7,0,96649487
8,0,218125104
9,0,76802889
10,0,12806256
11,0,132721582
12,0,17535606
13,0,8305867
14,0,32017866
15,0,58914899
16,0,65065065
17,179,699960390
18,1,67623853
19,0,9236097
20,0,17591714
21,0,36232550
22,0,16377925
23,469,246498822
24,0,38016159
25,0,23920933
26,0,105324029
27,0,13823747
28,0,137226422
29,0,983640432
30,0,7727781
31,52921,131179729
32,0,342045545
33,0,190997600
34,0,57077487
35,0,39078473
36,0,1608835537
37,0,32437721
38,0,26834090
39,0,38262049
40,0,40258884
41,0,16335486
42,0,283624489
43,0,46801089
44,0,214166800
45,698,3280874331
46,0,37930567
47,74529,2965656041
48,0,123101313
49,0,59514522
