index,results,average time (3)
0,0,300704478
1,0,734148899
2,0,11982758
3,0,33247867
4,0,98075786
5,0,22886435
6,6,27821540
7,0,67955652
8,0,154884417
9,0,53540388
10,0,9500105
11,0,90191046
12,0,14770507
13,0,6424029
14,0,23561556
15,0,50518750
16,0,50287326
17,179,541762748
18,1,60875495
19,0,7084846
20,0,14802058
21,0,24624267
22,0,11690059
23,469,180387575
24,0,27249892
25,0,16836166
26,0,78641732
27,0,10236262
28,0,97804148
29,0,736082235
30,0,9175697
31,10000,107788085
32,0,229068199
33,0,133260090
34,0,42030731
35,0,29324849
36,0,1103838284
37,0,22944609
38,0,22166887
39,0,27051448
40,0,29264608
41,0,11720895
42,0,227063735
43,0,33230224
44,0,165124733
45,698,2557757854
46,0,43163219
47,10000,2231558401
48,0,81721464
49,0,42116482
