index,results,average time (3)
0,0,9249766
1,0,31749327
2,0,8053699
3,0,23302554
4,0,4218896
5,0,29338280
6,0,5117654
7,0,6516297
8,0,7352590
9,0,7717211
10,0,5947192
11,0,7592836
12,0,9912649
13,0,5557457
14,0,18068233
15,2,47655899
16,0,10067224
17,0,23354370
18,0,11757929
19,0,17017205
20,10000,67030588
21,0,32364606
22,0,7497071
23,0,45717080
24,0,13762235
25,0,13088861
26,0,7439374
27,0,39000033
28,105,10986725
29,74,20660956
30,0,11393387
31,0,17350275
32,0,6725549
33,0,4023392
34,2,13464291
35,0,3939866
36,0,68066755
37,68,11675039
38,10000,2436651229
39,0,5535443
40,0,36030133
41,0,37734190
42,0,11233568
43,0,7756232
44,0,71079571
45,0,6439526
46,0,6588458
47,0,4318316
48,0,8857965
49,0,22047121
