index,results,average time (3)
0,10000,73185125
1,10000,102910598
2,0,8619387
3,0,537015199
4,0,361348390
5,0,17907063
6,0,91688235
7,10000,1982213576
8,0,450280268
9,0,10533809
10,0,187323967
11,0,48649390
12,0,1788377761
13,2,291816313
14,0,11419534
15,10000,907196203
16,0,42053222
17,0,116362730
18,0,14709551
19,10000,93497355
20,0,56442896
21,1,45409122
22,0,28974453
23,0,30947843
24,10000,200698613
25,0,871833721
26,10000,2021959622
27,0,60275951
28,187,62557696
29,13,105998118
30,0,71710347
31,0,19769986
32,10000,65363804
33,2,1997693696
34,10000,266054788
35,144,249210277
36,0,9196042
37,0,126697619
38,0,7724999
39,0,278401136
40,407,13651211
41,1,252166111
42,763,73136885
43,10000,2314884503
44,0,30691384
45,0,342710415
46,0,49702882
47,10000,2636978546
48,0,133803446
49,0,259312867
