index,results,average time (3)
0,10000,68150202
1,10000,90378363
2,0,9300629
3,0,504009882
4,0,345680792
5,0,17729361
6,0,94381729
7,10000,1755420525
8,0,434235413
9,0,9337027
10,0,188108126
11,0,48396030
12,0,1841516255
13,2,281627734
14,0,10855277
15,10000,1096275567
16,0,47404050
17,0,128721157
18,0,14721949
19,10000,94035148
20,0,57146946
21,1,48470258
22,0,29196818
23,0,30212640
24,10000,187500158
25,0,882367690
26,10000,2107344309
27,0,63347577
28,187,63209374
29,13,122781593
30,0,64616520
31,0,18827914
32,10000,73427358
33,2,1902680317
34,10000,253826458
35,144,272838751
36,0,12032985
37,0,124721208
38,0,7928609
39,0,306156555
40,407,13259808
41,1,250046332
42,763,73892036
43,10000,2151352007
44,0,30564307
45,0,333510239
46,0,57080109
47,10000,2621301014
48,0,125858385
49,0,261398394
