index,results,average time (3)
0,0,22840817
1,0,631983359
2,0,85917631
3,0,206869919
4,0,14354467
5,0,184735853
6,0,99372943
7,0,43946901
8,0,46914418
9,0,3111123
10,0,17768462
11,0,1610464969
12,0,112269719
13,0,26574214
14,0,1138500292
15,0,3140369
16,0,97768783
17,0,85616429
18,0,284065405
19,0,275018055
20,0,47269741
21,0,34417867
22,0,125291823
23,0,201332250
24,0,256485620
25,0,19680897
26,0,19244988
27,0,211486339
28,0,12575864
29,0,24234771
30,3,94990411
31,4179,48970221
32,0,21437724
33,0,5657513
34,0,169461408
35,0,522318521
36,1,703621784
37,0,5387697219
38,0,9212970
39,0,54805755
40,0,81857124
41,0,13511498
42,0,98653792
43,0,30828793
44,0,77406167
45,0,51397561
46,0,168934186
47,2,71537812
48,0,6054818073
49,0,119205315
