index,results,average time (3)
0,0,7382630
1,0,60069401
2,0,4472334
3,0,15881696
4,0,8036612
5,0,14226753
6,0,8874256
7,0,4458427
8,0,43965657
9,0,3934780
10,0,7030566
11,0,408744652
12,0,53052901
13,0,9493271
14,0,182541290
15,0,2735137
16,0,13619819
17,0,49907604
18,0,36760488
19,0,27077913
20,0,8682568
21,0,8580048
22,0,18787462
23,0,47548452
24,0,33790031
25,0,9769439
26,0,4664182
27,0,10317007
28,0,9091853
29,0,4985093
30,3,27370850
31,4179,30246257
32,0,13051588
33,0,3495692
34,0,85733969
35,0,21195570
36,1,32907008
37,0,6558274745
38,0,6647427
39,0,15375852
40,0,15523036
41,0,9386539
42,0,29869635
43,0,5543549
44,0,8318106
45,0,11988400
46,0,23999213
47,2,14322916
48,0,6830712318
49,0,31493186
