index,results,average time (3)
0,0,13599157
1,0,2061942100
2,0,225418011
3,0,18463372
4,0,15559752
5,0,166792710
6,0,40831486
7,0,12100537
8,0,518502314
9,0,519725878
10,0,192623853
11,0,33113240
12,0,121261516
13,0,11105298
14,0,8600870
15,0,43877362
16,0,40127833
17,0,18088817
18,0,1133934259
19,0,281999269
20,0,60307581
21,0,541039228
22,0,245511769
23,0,16842841
24,0,9781042
25,0,43510118
26,0,187559047
27,0,50846894
28,0,143986701
29,0,67600567
30,0,47423124
31,0,19488652
32,0,8479356
33,0,59456745
34,0,7072050
35,0,78523715
36,0,32826423
37,0,20495970
38,0,48583666
39,0,35516977
40,0,174008845
41,0,20780006
42,0,13027588
43,0,58576742
44,0,29349962
45,0,35445292
46,0,158195336
47,0,15020846
48,0,24564662
49,0,136111418
