index,results,average time (3)
0,0,13414303
1,0,2155849933
2,0,228728373
3,0,17440636
4,0,16320546
5,0,170940955
6,0,38613159
7,0,12119610
8,0,632471720
9,0,484860181
10,0,194143851
11,0,37827968
12,0,128000338
13,0,11710007
14,0,7933139
15,0,41436274
16,0,40459393
17,0,19389867
18,0,1195276736
19,0,316057920
20,0,65848191
21,0,611149549
22,0,258863130
23,0,16889095
24,0,10047753
25,0,48715034
26,0,190126577
27,0,50905068
28,0,164069731
29,0,74292103
30,0,51589806
31,0,20660559
32,0,8797486
33,0,70519288
34,0,7399479
35,0,84873437
36,0,35734414
37,0,22126992
38,0,52047808
39,0,39195298
40,0,192203123
41,0,21923223
42,0,18480697
43,0,67505120
44,0,30704259
45,0,38358767
46,0,171865939
47,0,15463987
48,0,25382041
49,0,148546774
