index,results,average time (3)
0,0,6818373
1,0,96915483
2,0,10637759
3,0,7371743
4,0,4589557
5,0,18065531
6,0,8727073
7,0,5889177
8,0,520150661
9,0,123366991
10,0,16049305
11,0,41090885
12,0,23138681
13,0,5003531
14,0,4883288
15,0,4758436
16,0,3878672
17,0,17646312
18,0,190738836
19,0,34752606
20,0,52343606
21,0,421424944
22,0,213324864
23,0,3869135
24,0,4024902
25,0,12008189
26,0,8504787
27,0,2700089
28,0,28103510
29,0,29357989
30,0,18700360
31,0,17772992
32,0,3522475
33,0,19348461
34,0,6017446
35,0,66251198
36,0,30188957
37,0,5212704
38,0,25875885
39,0,15264034
40,0,89323758
41,0,18921851
42,0,7381359
43,0,17929076
44,0,9515603
45,0,9252388
46,0,96014975
47,0,6807327
48,0,11008659
49,0,67917902
