index,results,average time (3)
0,0,64589659
1,0,28783082
2,0,185525814
3,0,37755648
4,0,49210547
5,0,672039190
6,0,43102581
7,0,26654958
8,0,253901719
9,0,29735882
10,0,55266380
11,0,618150790
12,0,77592929
13,0,37301301
14,0,13039429
15,0,180341164
16,0,531157413
17,0,164637406
18,0,27886310
19,0,143796602
20,0,125495830
21,0,24689992
22,0,69421052
23,0,159099817
24,0,57341654
25,0,81272204
26,0,117493788
27,0,107348918
28,0,1361236174
29,0,15420913
30,0,347128549
31,0,236177762
32,0,40179411
33,0,87194362
34,0,145526170
35,0,9199777
36,0,14087676
37,0,213626145
38,0,52356163
39,0,12231826
40,0,21790901
41,0,187694469
42,0,17925421
43,0,12214819
44,0,3195682
45,0,49156824
46,0,254506666
47,0,263422568
48,0,308359543
49,0,157363732
