index,results,average time (3)
0,15,1745743592
1,116,12377261
2,18851,196558157
3,7,158095756
4,72094,367481628
5,86234,1070015350
6,0,2446407158
7,0,17763773
8,0,268562396
9,0,4670502106
10,0,3053032636
11,8383,2112354516
12,0,104054291
13,650,90559084
14,0,29669204
15,0,43621221
16,0,2067307710
17,851,1068874756
18,0,308050950
19,5,222565253
20,4574,61415751
21,0,102535008
22,19,117166598
23,9872,110215027
24,273118,2517572323
25,0,5022494951
26,0,1865142663
27,44714,5185326734
28,1,119507391
29,0,885253429
30,0,10929027
31,45651,618713537
32,77,144934494
33,0,148629506
34,0,43503442
35,17,26011784
36,435550,3763447125
37,0,50895849
38,0,195621490
39,50,22018511
40,11357,176011482
41,0,16270716
42,915,138732989
43,0,348772048
44,0,3069429635
45,80,28832355
46,0,2993186
47,3765,35199800
48,89606,4197613795
49,13,623091141
