index,results,average time (3)
0,15,194553534
1,116,7014671
2,10000,102746406
3,7,32411495
4,10000,363844155
5,10000,472005208
6,0,53021192
7,0,7450818
8,0,153685490
9,0,37908474
10,0,19635120
11,8383,233307520
12,0,48457224
13,650,36772330
14,0,3817796
15,0,4440545
16,0,577083746
17,851,13416130
18,0,44274886
19,5,31896670
20,4574,34800846
21,0,16232887
22,19,25324900
23,9872,35379806
24,10000,1079759677
25,0,1600270191
26,0,118876615
27,10000,360768794
28,1,25358915
29,0,83947817
30,0,3896156
31,10000,213547467
32,77,32791375
33,0,5562622
34,0,7765928
35,17,13074477
36,10000,1374145904
37,0,8524417
38,0,7066010
39,50,10946988
40,10000,83578347
41,0,6251493
42,915,32796144
43,0,10118324
44,0,8836189
45,80,10332663
46,0,2088149
47,3765,30207156
48,10000,362332502
49,13,24132251
