index,results,average time (3)
0,4,62647183
1,0,13701835
2,7031,1450907468
3,7,14273007
4,0,283045211
5,1,369398275
6,0,20275195
7,0,744834422
8,2,11845111
9,171,91145435
10,0,379871447
11,29,55871089
12,0,114845672
13,0,774682680
14,0,2735932
15,0,226903596
16,1,22314786
17,1,31594434
18,0,84494510
19,979,160707314
20,0,67634264
21,0,45103629
22,0,2668300
23,0,253125826
24,0,779466787
25,0,30270735
26,1,21422465
27,0,2730766
28,71,31722624
29,0,17881710
30,0,25102932
31,0,51166772
32,0,16323486
33,0,14603058
34,2,19541263
35,0,45736312
36,1877,44094323
37,0,100993474
38,0,19325891
39,1,370335419
40,0,60393889
41,901,1286013126
42,9,30601898
43,0,41338920
44,0,92656214
45,0,34213780
46,0,30660787
47,0,68197488
48,0,249077240
49,83,266807396
