index,results,average time (3)
0,0,9981075
1,0,37166197
2,0,8725642
3,0,17851511
4,0,30427773
5,0,48619746
6,0,21612564
7,0,8568445
8,0,8250474
9,0,93397299
10,0,28921206
11,0,15354792
12,0,27567147
13,0,60838778
14,0,165158986
15,0,8990843
16,0,437439202
17,0,445648510
18,0,47029733
19,0,11265516
20,0,231624126
21,0,228822072
22,0,10591585
23,0,34390528
24,15,34050384
25,0,286377668
26,40,112934588
27,0,8919794
28,1,23570855
29,0,10709285
30,0,27380625
31,0,225147326
32,0,15389680
33,0,25255282
34,0,15452225
35,0,21334647
36,0,28678416
37,169,14456192
38,1,32304048
39,0,17176150
40,0,15085935
41,0,27251720
42,0,101100523
43,0,17000833
44,32,109621683
45,0,13155936
46,1782,16311088
47,0,95286051
48,0,17456849
49,0,45357306
