index,results,average time (3)
0,57758,194001276
1,230854,2573024590
2,0,124487161
3,0,25254884
4,41364,43246745
5,0,9357531
6,0,103521187
7,12208625,4604861815
8,0,43495177
9,0,22227366
10,0,14225641
11,0,56841452
12,0,21755059
13,0,9658972
14,0,11290311
15,0,6621678
16,0,736577113
17,1,24294296
18,4946,62133550
19,0,44979969
20,0,11152505
21,0,10338385
22,0,453721284
23,0,40188153
24,270,747121492
25,0,76587438
26,0,19800582
27,0,7244666
28,0,83705186
29,48357,2400046109
30,28017,21997451
31,2118,14128287
32,1879955,1947603305
33,0,68828582
34,0,9120066
35,0,19010543
36,0,31005302
37,0,27025460
38,0,87233940
39,0,25574286
40,0,72032292
41,985,11633396
42,853970,573233445
43,0,6595849
44,0,468586444
45,0,1409204959
46,0,101205825
47,0,43341079
48,0,6005366
49,0,36905526
