index,results,average time (3)
0,10000,162578264
1,10000,1183405240
2,0,20550012
3,0,10003804
4,10000,19468625
5,0,3092765
6,0,4341284
7,10000,4945490121
8,0,14574447
9,0,3011782
10,0,5565324
11,0,19078254
12,0,11941273
13,0,5846659
14,0,2413034
15,0,3426233
16,0,69081226
17,1,3678798
18,4946,38062333
19,0,5329846
20,0,4792769
21,0,2454995
22,0,7023811
23,0,13950426
24,270,13027667
25,0,2999226
26,0,7347345
27,0,2189556
28,0,10809500
29,10000,89349746
30,10000,19885221
31,2118,15743811
32,10000,840536276
33,0,3838777
34,0,3415028
35,0,8923848
36,0,16619841
37,0,3903229
38,0,20680427
39,0,2473751
40,0,13048330
41,985,10333934
42,10000,389441331
43,0,2476850
44,0,5239566
45,0,79926887
46,0,33715406
47,0,9681383
48,0,2437909
49,0,2002795
