index,results,average time (3)
0,0,16907135
1,0,6124416
2,0,5351225
3,51,21456399
4,0,9094873
5,105,7952053
6,0,66164572
7,0,11646349
8,0,15706459
9,10000,538701136
10,0,57050943
11,0,7878541
12,0,6924152
13,0,6781329710
14,0,7979233
15,11,144983768
16,6,24125972
17,6272,62738179
18,0,9100595
19,0,1064946730
20,0,62638520
21,0,122399647
22,1179,31163453
23,0,27302264
24,0,79666773
25,0,11173247
26,0,52832682
27,0,10994910
28,0,17188549
29,0,169641891
30,0,17935116
31,0,10773578
32,0,23078997
33,0,22690454
34,0,20063161
35,0,222072521
36,0,72903871
37,15,19879499
38,0,36804516
39,0,115661461
40,0,25648990
41,10000,256092450459
42,0,43981869
43,0,15452940
44,183,12251456
45,10000,2151388962
46,0,7898330
47,879,80042520
48,0,26585181
49,0,7297038
