index,results,average time (3)
0,0,63609838
1,0,5850314
2,0,13522386
3,0,18125613
4,0,16533294
5,0,16099214
6,0,8991082
7,0,26952027
8,0,84818998
9,0,12316783
10,0,8310317
11,458,47689119
12,0,7209618
13,0,7404406
14,33,5698601
15,0,6207227
16,0,6213346
17,0,10626156
18,0,10259309
19,0,32110213
20,0,25009154
21,0,9348948
22,0,939446210
23,0,17759640
24,0,9641488
25,0,142136732
26,0,12531597
27,0,13186851
28,0,6954510
29,0,22573232
30,0,22988398
31,0,15743732
32,1,155468066
33,0,13011216
34,0,108496983
35,0,6422201
36,0,9371280
37,0,19002278
38,0,256996631
39,0,21424054
40,0,5859613
41,0,5710601
42,0,5349794
43,0,25325695
44,4715,37418205
45,0,61039606
46,0,7064103
47,0,51885207
48,0,5328654
49,0,8468150
