index,results,average time (3)
0,0,47634362
1,0,247442086
2,0,2599094470
3,3,4588266928
4,0,164786656
5,0,1006475448
6,0,1336286305
7,0,2041548410
8,0,11334816
9,0,15243688
10,0,350007295
11,1,4305476029
12,0,35343487
13,0,1865074157
14,0,552025953
15,0,53227901
16,0,14041105
17,0,10418414
18,0,2751810152
19,0,18221457
20,0,43867905
21,0,97462733
22,0,1697259584
23,0,35708585
24,0,90098460
25,0,17198005
26,0,43064832
27,0,157531102
28,0,2356831868
29,0,97289561
30,3,366938272
31,0,233011642
32,0,178272803
33,0,92906315
34,0,356158812
35,0,2159322976
36,0,38236061
37,0,56437333
38,0,209667285
39,0,144965728
40,0,51276763
41,0,41050275
42,0,49672762
43,0,14216104
44,0,42820055
45,0,16879876
46,0,81202029
47,0,156239191
48,0,298656860
49,0,41736363
