index,results,average time (3)
0,0,52690664
1,0,268155733
2,0,2526459693
3,3,5345129648
4,0,236215908
5,0,1416931390
6,0,1874866723
7,0,2975425560
8,0,16408284
9,0,21948416
10,0,530788262
11,1,6497190792
12,0,51715373
13,0,2916454235
14,0,1044492323
15,0,57237148
16,0,19942521
17,0,12027422
18,0,2911779244
19,0,20632505
20,0,46253203
21,0,101289112
22,0,1865877469
23,0,44907887
24,0,107250213
25,0,20497560
26,0,47225475
27,0,177481492
28,0,2332978486
29,0,102059443
30,3,412676334
31,0,246720472
32,0,178242842
33,0,92265208
34,0,389146009
35,0,2363456805
36,0,45696496
37,0,68738857
38,0,192377646
39,0,141791025
40,0,54593880
41,0,41986624
42,0,55696487
43,0,17280181
44,0,39384523
45,0,19786437
46,0,94964503
47,0,140607038
48,0,283396640
49,0,48584063
