index,results,average time (3)
0,0,57086229
1,0,285155057
2,0,2623946586
3,3,5892995675
4,0,242394129
5,0,1550160407
6,0,1820453484
7,0,2921298900
8,0,16689459
9,0,26979128
10,0,630083401
11,1,5357063054
12,0,35654465
13,0,2241424242
14,0,595611571
15,0,51842768
16,0,15722195
17,0,11821746
18,0,3432758331
19,0,24616320
20,0,46533107
21,0,147829850
22,0,2466861009
23,0,48550764
24,0,133190075
25,0,24046500
26,0,64464091
27,0,235505342
28,0,3431876976
29,0,136882860
30,3,505718310
31,0,387540101
32,0,332868813
33,0,158387740
34,0,576791683
35,0,3879702647
36,0,63828785
37,0,104643583
38,0,280347585
39,0,297339279
40,0,92331727
41,0,75018007
42,0,83449204
43,0,23597001
44,0,80452918
45,0,27676900
46,0,130775530
47,0,293677647
48,0,594983815
49,0,75879335
