index,results,average time (3)
0,0,10121186
1,0,50161520
2,0,3758668
3,0,2530574
4,0,2995411
5,0,8660236
6,0,66795587
7,0,4116534
8,0,8111397
9,0,454939603
10,0,37397861
11,0,37055809
12,0,2569595
13,0,50381898
14,0,23909012
15,0,349856296
16,0,4440068
17,0,4376013
18,0,2635558
19,0,379658460
20,0,50362427
21,0,33546288
22,0,4170417
23,0,3711938
24,0,117480754
25,0,60762087
26,0,19279956
27,0,25737285
28,0,3588040
29,0,35255749
30,0,126853386
31,0,553868690
32,0,41669209
33,0,3873506
34,0,6923039
35,0,71835279
36,0,10706424
37,0,183542807
38,0,4945992
39,0,40054797
40,0,2818425
41,0,10710954
42,0,34289121
43,0,13908147
44,0,18042325
45,0,5824486
46,0,155611753
47,0,18752574
48,0,4415035
49,0,13904968
