index,results,average time (3)
0,1,27390946626
1,1276782,10860091209
2,0,-1
3,0,3579059
4,0,2986589
5,0,2623001
6,0,2851167
7,0,3021557
8,0,2959966
9,0,4408520698
10,0,3237406
11,0,17096853573
12,0,3999934832
13,0,441477854
14,522597,6210736671
15,0,30838781197
16,0,3059466
17,0,3343025
18,0,5326668
19,0,2463022
20,0,14704426765
21,5390645,25861797332
22,0,2700884
23,0,3011385
24,0,3057240
25,0,2826293
26,0,4242640415
27,0,60384211063
28,0,4639943
29,0,2764463
30,815476,46827287832
31,94,3052924076
32,0,-1
33,0,4773219
34,0,1355198382
35,1604393,55446822324
36,0,3927151
37,80152,6324145475
38,0,2734978
39,0,21815225839
40,0,50683815
41,0,6449797153
42,0,2519344488
43,0,3124395
44,765,1444815953
45,5129089,29343194245
46,0,1004246234
47,0,4901140371
48,0,8833308060
49,0,18374816019
50,0,1131767272
51,0,2564032
52,0,2691983
53,35347306,93393375316
54,1,78806493600
55,0,3094037
56,0,2911567
57,0,3177324
58,0,-1
59,0,4706859
60,0,2334515
61,1,14928594827
62,9,30685241460
63,0,2892255
64,0,17674803177
65,0,2149000088
66,0,6321736335
67,0,2358356
68,0,536387522
69,0,3374814
70,0,2555926
71,0,6325165
72,1,190758393923
73,2062,39859075625
74,0,2586126
75,0,1261062780
76,0,3442127
77,5,9246557155
78,0,2627928
79,0,8001960674
80,1221881,7671262184
81,83,5010653495
82,0,29370625
83,0,95613320
84,0,2779165
85,1116584,7792632340
86,0,3736177
87,0,6295902569
88,0,269054791211
89,106599197,376268711646
90,0,3074883
91,0,3037293
92,0,3299315
93,43,21521894772
94,0,2936998
95,0,2760727
96,0,3383079
97,0,792652845
98,0,3182808
99,0,2495367
100,0,3253141
101,0,523131688
102,31523,328453063
103,0,-1
104,0,2365373849
105,0,5961261907
106,0,1103007077
107,0,2745150
108,677035,2582826216
109,0,2256631
110,0,2756356
111,0,28248627
112,0,2396026
113,0,2298434
114,0,7277170
115,0,939949988
116,2329,5456605672
117,10281,3901100635
118,1103283,5438449620
119,768682,4785025914
120,3588395,8783837874
121,0,2882798
122,0,26651699065
123,0,2872705
124,376252,5685864607
125,0,670915603
126,0,3509600
127,315,1070455074
128,0,3045558
129,3800156,11758481820
130,36,23587681770
131,80152,4542716820
132,0,3586020946
133,19523,4926420926
134,0,3134533722
135,7,4559403896
136,0,2535819
137,0,2424080
138,0,1143665313
139,0,308546224
140,0,2588907
141,0,2472320
142,0,2919196
143,0,2863168
144,2,24988668679
145,0,23914959748
146,0,41094859
147,0,1957236051
148,0,7322258551
149,0,2571979
150,16,23927968660
151,0,2580642
152,0,549632866
