index,results,average time (3)
0,1,30669131119
1,10000,16271511157
2,0,timeout
3,0,4588841
4,0,3518422
5,0,3203153
6,0,2855936
7,0,2756595
8,0,2929925
9,0,3737060705
10,0,2814610
11,0,15615963458
12,0,3503969669
13,0,466716845
14,10000,4702662626
15,0,31030815600
16,0,2700964
17,0,2215305
18,0,6136735
19,0,2194642
20,0,17227335452
21,10000,30668365160
22,0,3140846
23,0,2546389
24,0,2777973
25,0,2073287
26,0,4167113939
27,0,58479921101
28,0,2874056
29,0,2384662
30,10000,58814510186
31,94,3201281626
32,0,timeout
33,0,3098567
34,0,1184750159
35,10000,60892937739
36,0,3269990
37,10000,7370450575
38,0,2640485
39,0,24628902434
40,0,52948871
41,0,6138072093
42,0,1664894739
43,0,2731561
44,765,1498814264
45,10000,33287584463
46,0,1221180359
47,0,5514597733
48,0,10191606123
49,0,26259440580
50,0,1460099060
51,0,2683003
52,0,3592014
53,10000,90083447614
54,1,87711267789
55,0,4904428
56,0,3040154
57,0,2666711
58,0,timeout
59,0,2861340
60,0,2137024
61,1,16918745676
62,9,35783371209
63,0,3327289
64,0,21115658044
65,0,2311269124
66,0,7348965008
67,0,2023299
68,0,581303437
69,0,2379178
70,0,2257187
71,0,6689627
72,1,218411249955
73,2062,45177835225
74,0,2591768
75,0,1182991106
76,0,2421061
77,5,8429753303
78,0,2497990
79,0,8761044581
80,10000,8444053967
81,83,5287513891
82,0,28900941
83,0,67164182
84,0,2511024
85,10000,7743927240
86,0,2569675
87,0,7607241312
88,0,257725592771
89,10000,428420790195
90,0,2828041
91,0,2609888
92,0,2295414
93,43,25619605699
94,0,2271731
95,0,2069393
96,0,2013921
97,0,973623513
98,0,2371310
99,0,2064704
100,0,2256075
101,0,668688774
102,10000,439531405
103,0,timeout
104,0,2894498188
105,0,7436061064
106,0,1356167395
107,0,2488533
108,10000,3116498946
109,0,2553144
110,0,2617358
111,0,39573589
112,0,2408106
113,0,2310355
114,0,8391220
115,0,1170154889
116,2329,7099020560
117,10000,4782108544
118,10000,6775394518
119,10000,3962854861
120,10000,10051222324
121,0,2378622
122,0,29347337007
123,0,2356290
124,10000,6789156039
125,0,865131695
126,0,2634366
127,315,1303763865
128,0,2664963
129,10000,13975344657
130,36,27841002781
131,10000,5965956131
132,0,4470757642
133,10000,6743929862
134,0,4041810670
135,7,5722111543
136,0,2283255
137,0,2320924
138,0,1445532400
139,0,354288418
140,0,3384907
141,0,1839319
142,0,2432346
143,0,2128044
144,2,29278752644
145,0,29378233511
146,0,54662306
147,0,1885201533
148,0,7089681545
149,0,2273797
150,16,33978491226
151,0,2619583
152,0,841422954
153,0,2598126
154,0,2296765
155,0,2843459
156,0,2096732
157,0,1960992
158,0,1791794458
159,0,1810909032
160,0,31158788521
161,0,3135839
162,0,2342859
163,0,2246617
164,0,2266406
165,0,2417961
166,0,2089182
167,2630,134745915
168,0,106072107
169,0,2669413
170,0,5456882158
171,0,365533907
172,0,2784728
173,0,1483070691
174,0,2631584
175,10000,3367205063
176,10000,3131954431
177,10000,19505086262
178,0,3172715
179,296,6837825695
180,10000,16451124985
181,10000,297641516208
182,0,timeout
183,0,timeout
184,1,12078706423
185,0,3341356
186,4,7908107836
187,0,2562204
188,0,8058891454
189,0,2621491
190,0,60748179
191,0,4325642585
192,0,39776801
193,0,2710898
194,0,2392212
195,0,80464919
196,0,2547899
197,0,2432505
198,0,6166180610
199,0,4422585
200,0,3553904691
201,0,167872269
202,0,2352714
203,0,2718343575
204,0,3662029
205,0,2172787
206,0,2119461
207,0,1362612803
208,0,2260763
209,1,13957708040
210,2459,22405306
211,0,2260525
212,0,2321004
213,0,4150314728
214,0,31650954563
215,10000,4876807212
216,10000,19900653123
217,0,2779960
218,0,2799828
219,0,3579616
220,6,12157854159
221,0,2770105
222,1,30746295451
223,1,1123499234
224,0,2360423
225,0,106953541
226,0,1334175586
227,114,31533290385
228,12,11623758871
229,0,2416371
230,0,2164522
231,0,2126375
232,0,2069472
233,0,59023141
234,0,3720441
235,0,2384264
236,415,17582130511
237,0,2472559
238,0,6524483
239,0,2235650
240,0,2240498
241,0,198120514
242,0,17766157
243,10000,21304102102
244,1,4020107666
245,0,2974271
246,0,2434094
247,0,1280291239
248,10000,162686790783
249,10000,3815637508
250,10000,283127307017
251,0,4876772
252,0,2557674
253,0,17737437406
254,4373,4110646326
255,0,1777385552
256,4,18859534104
257,0,2672115
258,0,2737045
259,10000,125141609191
260,0,2996841
261,10000,7028030553
262,0,2658843
263,0,2675374
264,10000,58547788937
265,0,102229095458
266,0,2814213
267,10000,4265285809
268,0,3621863364
269,0,24364631016
270,0,2117951
271,10000,60284520705
272,0,3107309
273,0,103457017341
274,0,2903858
275,0,314085440078
276,0,2494652350
277,0,2472479
278,10000,53587597687
279,0,2618550
280,0,2320130
281,10000,153532759030
282,0,2755735476
283,4129,11621683597
284,0,3010268767
285,0,2860546
286,13,1229064066
287,0,2615213
288,0,2401828
289,0,12032826
290,10000,13802329380
291,0,2473989
292,0,2454757
293,1,8237813710
294,0,828962484
295,10000,16936412254
296,0,1870406150
297,0,2464373
298,0,2252909024
299,10000,36198326905
300,0,18259108940
301,0,2218961
302,0,2041419
303,10000,12752206404
304,0,2688248
305,0,2375443
306,0,2196788
307,0,2013444
308,0,7202010313
309,0,3357861836
310,0,2511183
311,0,2522070
312,0,6052358627
313,0,2248684
314,0,29995183070
315,0,2257426
316,0,12247402
317,84,34362909952
318,10000,8465522129
319,2,28163600126
320,0,2211490
321,10000,10681434154
322,10000,6099547226
323,10000,55088071743
324,0,2590258
325,0,228940168
326,1,38692704438
327,0,2339919
328,0,12059608
329,0,2398728
330,10000,10138121127
331,713,34514337460
332,0,2420107
333,0,2255200
334,0,1974264
335,0,2118587
336,0,1982370
337,0,1971403
338,21,17989480574
339,0,496270020
340,0,2699454
341,0,2157210
342,0,2247969
343,8,33652654726
344,0,3004073
345,0,2677043
346,0,2609352588
347,0,2304394
348,0,7099322715
349,10,7391208171
350,0,2290169
351,1,30446326891
352,0,2231994
353,0,51316976
354,0,1385333458
355,10000,10792553265
356,0,2403418
357,0,4130268891
358,0,18893718
359,10000,151464411576
360,0,2589463
361,0,2325932
362,0,6072918
363,10000,13449812173
364,0,6102641
365,10000,5727062145
366,10000,14069633404
367,0,3135622580
368,0,2506255
369,10000,5433202186
370,0,1074608484
371,5,1916099627
372,0,2340316
373,0,2042849
374,0,3184079
375,0,1169682661
376,5,2627531
377,0,2086003
378,10000,18804401715
379,0,3782538493
380,0,2440452
381,0,2294222
382,0,7186623175
383,0,1037273565
384,0,2261320
385,0,2102454
386,10000,50471450169
387,0,8996154943
388,0,2777496
389,0,2681811
390,10000,82363548437
391,0,2953211
392,5,15738490422
393,0,2609173
394,10000,58121250152
395,0,2725839
396,0,2295493
397,942,1457068204
398,10000,33476458151
399,0,2875566
400,2982,11930538812
401,0,2691189
402,0,2251704
403,0,2173343
404,0,2386887
405,0,2217451
406,78,14617937087
407,0,2532322
408,0,181400060
409,10000,41001297394
410,0,2507288
411,0,2363999
412,0,2447843
413,10000,11389690875
414,1,56393146
415,1188,72537342
416,0,2211172
417,0,2126057
418,0,54355859
419,0,2294142
420,0,2402543
421,0,2704669793
422,0,2556561
423,0,2398888
424,0,2243280
425,0,2276658
426,0,2156491756
427,0,2419948
428,1,7253743966
429,2,9880180835
430,10000,17031123637
431,0,2712487
432,314,3718707958
433,0,21412531
434,0,2351601
435,0,1895268
