index,results,average time (3)
0,1,696861505
1,10000,13838359117
2,0,timeout
3,0,6045976
4,0,2909580
5,0,3067493
6,0,2675612
7,0,2398570
8,0,3023624
9,0,91571807
10,0,3313858
11,0,975594679
12,0,3264983
13,0,2357482
14,10000,2866737921
15,0,42353947
16,0,3164370
17,0,2036014
18,0,2250830
19,0,2695639
20,0,2881607532
21,10000,17997015873
22,0,3653048
23,0,2511501
24,0,3091414
25,0,3297407
26,0,362159887
27,0,7835731744
28,0,2734740
29,0,2150137
30,10000,19019982973
31,94,49901405
32,0,timeout
33,0,4246155
34,0,4872798
35,10000,9975474834
36,0,3521998
37,10000,678858200
38,0,3061691
39,0,2379814
40,0,21726449
41,0,26769399
42,0,4845619
43,0,2543687
44,765,15349626
45,10000,18770950793
46,0,447821855
47,0,144654273
48,0,13245702346
49,0,2087751
50,0,2485513
51,0,2528508
52,0,1909970
53,10000,100317928949
54,1,456107457
55,0,3299553
56,0,2380370
57,0,2255280
58,0,3212292
59,0,2321004
60,0,2355018
61,1,84270794
62,9,782297054
63,0,2450227
64,0,2840677
65,0,66728750
66,0,2609093
67,0,2236127
68,0,5960146
69,0,2007086
70,0,2202907
71,0,4672527
72,1,91181595
73,2062,1827462831
74,0,2647399
75,0,104097683
76,0,1994370
77,5,349168459
78,0,2045631
79,0,1709222
80,10000,8134515523
81,83,192454655
82,0,7161696
83,0,33092736
84,0,2502838
85,10000,4760064999
86,0,2341508
87,0,2285480
88,0,68857729196
89,10000,307719718138
90,0,2570787
91,0,2402940
92,0,2200285
93,43,9496372619
94,0,1733938
95,0,2080281
96,0,1764217
97,0,3158887
98,0,1798311
99,0,1780509
100,0,2276817
101,0,2353906
102,10000,201780636
103,0,timeout
104,0,4004557
105,0,42605638
106,0,34139473
107,0,2375046
108,10000,2573081731
109,0,2299705
110,0,2386808
111,0,6040334
112,0,1902182
113,0,1855055
114,0,3925720
115,0,117915709
116,2329,159908691
117,10000,264332850
118,10000,3035603920
119,10000,2545804818
120,10000,6177225589
121,0,2301216
122,0,55207410
123,0,3288109
124,10000,6749088843
125,0,2649704
126,0,3342548
127,315,238646665
128,0,1984755
129,10000,12562078634
130,36,1187194505
131,10000,660046100
132,0,791795174
133,10000,536612828
134,0,327941496
135,7,720853169
136,0,1993496
137,0,1616874
138,0,1724084
139,0,1995165
140,0,1554091
141,0,1802523
142,0,1900751
143,0,1625537
144,2,70384104
145,0,92550357
146,0,4646300
147,0,142120837
148,0,1726017474
149,0,2718368
150,16,24005095
151,0,2727905
152,0,3024736
153,0,1852750
154,0,2526997
155,0,2142349
156,0,1732905
157,0,2401589
158,0,2433458
159,0,2231676
160,0,41814883
161,0,2370674
162,0,1797039
163,0,2993980
164,0,2543369
165,0,1911242
166,0,2490519
167,2630,25959491
168,0,6208181
169,0,3391662
170,0,1567640224
171,0,5367755
172,0,2781867
173,0,6585200
174,0,1773913
175,10000,570214112
176,10000,1442509492
177,10000,8234548329
178,0,2093632
179,296,220465023
180,10000,2850659529
181,10000,193304936488
182,0,timeout
183,10000,492437007188
184,1,420177936
185,0,3130435
186,4,173896233
187,0,1922448
188,0,56711196
189,0,2894559
190,0,18390099
191,0,2069075
192,0,3151416
193,0,2279440
194,0,2569436
195,0,39844592
196,0,2164681
197,0,1825888
198,0,115946371
199,0,2088149
200,0,47075271
201,0,24549086
202,0,1987377
203,0,2115328
204,0,1830497
205,0,1837253
206,0,1821040
207,0,2765257
