index,results,average time (3)
0,1,34074306
1,1,858893076
2,1,321711539
3,1,712872743
4,1,545207977
5,2,210147062
6,2,1759464104
7,1,49814223
8,2,50423860
9,4,2149164437
10,2,1815588712
11,2,15097220
12,3,1257657368
13,1,569939453
14,1,2119578679
15,2,395469188
16,1,273097117
17,1,136305570
18,1,38800954
19,1,136682033
20,3,210160175
21,1,308978557
22,2,2169511317
23,1,22001663
24,3,1037359872
25,4,2058603047
26,1,14512935
27,2,25426466
28,1,26910860
29,1,50656715
30,2,197395324
31,9,793547073
32,8,1067837714
33,5,6226225693
34,2,10911941
35,1,52863041
36,1,11765002
37,2,13492743
38,1,178091287
39,1,1044326543
40,1,53631066
41,1,78835566
42,3,6286914745
43,1,351522366
