index,results,average time (3)
0,1,34192958
1,1,1367935418
2,1,437687634
3,1,1072278499
4,1,703765391
5,2,320172230
6,2,2280798911
7,1,62477588
8,2,69493134
9,4,2366994221
10,2,2261755784
11,2,23368914
12,3,1726968049
13,1,692132711
14,1,2629141171
15,2,526991526
16,1,364725033
17,1,177466550
18,1,48606156
19,1,176136572
20,3,272811333
21,1,416867811
22,2,2882690031
23,1,28591552
24,3,1386961856
25,4,2715594370
26,1,19815126
27,2,34239768
28,1,34319877
29,1,67221800
30,2,282825549
31,9,813771645
32,8,1206820646
33,5,5926735003
34,2,12125173
35,1,67949056
36,1,15823204
37,2,15222628
38,1,197613874
39,1,979405084
40,1,65109570
41,1,79379240
42,3,7631916522
43,1,437131325
