index,results,average time (3)
0,1,20377794
1,1,25854905
2,1,22745529
3,1,88086684
4,1,15620469
5,2,5650361
6,2,65437554
7,1,5061070
8,2,26235739
9,4,5156914
10,2,314167499
11,2,6024678
12,3,190203666
13,1,212118307
14,1,105308770
15,2,32890796
16,1,20988146
17,1,36550521
18,1,8126179
19,1,21300156
20,3,53081511
21,1,18505970
22,2,19164561
23,1,3975629
24,3,59511581
25,4,15420595
26,1,11544863
27,2,5802074
28,1,21632750
29,1,17609516
30,2,22729317
31,9,8260647
32,8,7797002
33,5,5502176522
34,2,5979617
35,1,12546141
36,1,10921716
37,2,4833221
38,1,47299782
39,1,25927225
40,1,17617702
41,1,13433376
42,3,4525915225
43,1,204444487
