index,results,average time (3)
0,1,4316489457
1,1,137693484
2,1,18800973
3,1,479596057
4,3,1193352698
5,2,449555079
6,6,1295927126
7,9,397360244
8,5,42713641
9,1,139305352
10,2,50936062
11,1,268690188
12,3,53535222
13,40,22234757
14,2,34073670
15,27,52399873
16,38,9832668224
17,1,4942955891
18,1,46409288
19,1,10703483
20,1,26079098
21,36,4539080539
22,2,24187087
23,2,79429387
24,1,307071605
25,1,91679970
26,1,28356313
27,1,1659477074
28,3,57072559
29,1,1513369321
30,1,213659763
31,10,20998159
32,1,28456926
33,2,676109790
34,3,52658398
35,3,436185121
36,2,24016221
37,1,164721250
38,1,96532105
39,3,58560529
40,1,1261751492
