index,results,average time (3)
0,1,5253394
1,3,11755942
2,1,3378788
3,4,69703578
4,8,3121455
5,1,2978562
6,12,2971410
7,1,5035638
8,3,3233432
9,1,3400325
10,1,3131071
11,2,3991444
12,2,3125746
13,1,3543217
14,2,3370761
15,21,5024671
16,1,65461476
17,4,3227631
18,1,3287473
19,8,3746350
20,1,15853643
21,2,3297408
22,2,3021239
23,3,4118442
24,3,3281195
25,2,2978642
26,3,3151813
27,6,3023465
28,1,3207524
29,29,115952888
30,1,3286281
31,2,3117640
32,8,3043143510
33,1,4370132
34,11,7293223
35,2,3566662
36,2,3491004
37,18,14903942
