index,results,average time (3)
0,242,156452019
1,1,4200696
2,16,3266174
3,1,28384367
4,1,85664033
5,2,8842785
6,1,499473810
7,3,217589219
8,1,1310142755
9,1,6828148
10,1,16635973
11,3,2503474
12,1,6057182
13,1,24577617
14,3,3581602
15,1,587124903
16,1,111301501
17,1,2551714
18,5,3824472
19,1,4353522
20,1,33121346
21,2,2446253
22,1,2361774
23,2,2510229
24,2,1338162183
25,3,100505908
26,2,938581546
27,3,2627849
28,3,3222862
29,1,2399762
30,2,2389589
31,2,2112547
32,2,2330303
33,2,2250591
34,11,2567608
35,1,11678059
36,4,2624988
37,23,11753320
38,3,2606629
39,2,17435550
40,2,9092251
