index,results,average time (3)
0,242,96935987
1,1,20953495
2,16,18297036
3,1,23837248
4,1,38311083
5,2,19071817
6,1,54837464
7,3,25363762
8,1,23454745
9,1,22933005
10,1,26482343
11,3,6786664
12,1,25854666
13,1,15257040
14,3,27346372
15,1,66507418
16,1,18374124
17,1,15865643
18,5,10594208
19,1,22275288
20,1,23009458
21,2,15117962
22,1,14367818
23,2,19520759
24,2,175273656
25,3,51595131
26,2,33378759
27,3,15985806
28,3,20802656
29,1,10796705
30,2,22508064
31,2,14632621
32,2,15045006
33,2,12527545
34,11,13666549
35,1,14951705
36,4,22215524
37,23,17079352
38,3,11730829
39,2,17113923
40,2,20465055
