index,results,average time (3)
0,2,5422830
1,2,3862460
2,2,3746509
3,21,5207220
4,2,3902911
5,1,121145645
6,4,1807557105
7,1,5110819
8,1,8372465
9,4,4204511
10,2,3990808
11,1,3503004
12,2,3233512
13,1,4221915
14,2,3556171
15,1,16189654
16,2,19045988
17,4,44354359
18,1,4496812
19,2,3551721
20,3,25438228
21,2,2230734824
22,2,4178046
23,3,23041565
24,1,3300030
25,2,3095944
26,2,36962031
27,3,3249009
28,1,3009160
29,2,2909103
30,1,2919037
31,1,40922482
32,4,26281594
33,1,3188291
34,3,3215074
35,1,4454771
36,6,3287156
37,2,3066539
38,1,2899725
39,2,2836703
