index,results,average time (3)
0,180,4267453
1,34,3715196
2,459,3940502
3,22,3423531
4,60,2852757
5,23,3511746
6,34,3085453
7,100,2921581
8,138,3299077
9,140,3366231
10,52,2811749
11,39,3062247
12,325,4610538
13,188,3309328
14,14,3227074
15,54,3395000
16,16,3232876
17,67,3256559
18,18,3484884
19,17,3467082
20,49,3212689
21,20,3342945
22,12,3403980
23,110,3382920
24,314,3295024
25,42,3569523
26,134,3504117
27,17,3084023
28,158,3471930
29,100,3233909
30,12,3193060
31,26,3604968
32,58,3040869
33,49,3416060
34,18,3455479
35,127,2857128
36,43,3153164
37,104,3262916
38,208,2701043
39,19,2838690
40,886,4050969
41,363,3848313
42,16,3295818
43,26,2746740
44,20,3249565
45,229,3037531
46,174,3378788
47,7,3039916
48,21,3407398
